Month,reference,target,missing,target_prev,target_ma_manual,target_ma_rolling,target_interp_manual,target_interp_pd,ref_smooth_formula,ref_smooth_ewm
1954-11-01,203,203.0,,203.0,203.0,203.0,203.0,203.0,240.21783488896503,240.21783488896503
1954-12-01,229,229.0,,229.0,229.0,229.0,229.0,229.0,237.974267911172,237.974267911172
1955-01-01,242,242.0,,242.0,242.0,242.0,242.0,242.0,238.7794143289376,238.7794143289376
1955-02-01,233,233.0,,233.0,233.0,233.0,233.0,233.0,237.6235314631501,237.6235314631501
1955-03-01,267,267.0,,267.0,267.0,267.0,267.0,267.0,243.4988251705201,243.4988251705201
1955-04-01,269,269.0,,269.0,269.0,269.0,269.0,269.0,248.59906013641606,248.59906013641606
1955-05-01,270,270.0,,270.0,270.0,270.0,270.0,270.0,252.87924810913285,252.87924810913285
1955-06-01,315,315.0,,315.0,315.0,315.0,315.0,315.0,265.30339848730625,265.30339848730625
1955-07-01,364,364.0,,364.0,364.0,364.0,364.0,364.0,285.042718789845,285.042718789845
1955-08-01,347,347.0,,347.0,347.0,347.0,347.0,347.0,297.434175031876,297.434175031876
1955-09-01,312,312.0,,312.0,312.0,312.0,312.0,312.0,300.3473400255008,300.3473400255008
1955-10-01,274,274.0,,274.0,274.0,274.0,274.0,274.0,295.07787202040066,295.07787202040066
1955-11-01,237,237.0,,237.0,237.0,237.0,237.0,237.0,283.46229761632054,283.46229761632054
1955-12-01,278,278.0,,278.0,278.0,278.0,278.0,278.0,282.36983809305644,282.36983809305644
1956-01-01,284,284.0,,284.0,284.0,284.0,284.0,284.0,282.69587047444514,282.69587047444514
1956-02-01,277,277.0,,277.0,277.0,277.0,277.0,277.0,281.5566963795561,281.5566963795561
1956-03-01,317,317.0,,317.0,317.0,317.0,317.0,317.0,288.64535710364487,288.64535710364487
1956-04-01,313,313.0,,313.0,313.0,313.0,313.0,313.0,293.5162856829159,293.5162856829159
1956-05-01,318,318.0,,318.0,318.0,318.0,318.0,318.0,298.4130285463327,298.4130285463327
1956-06-01,374,374.0,,374.0,374.0,374.0,374.0,374.0,313.53042283706617,313.53042283706617
1956-07-01,413,413.0,,413.0,413.0,413.0,413.0,413.0,333.42433826965294,333.42433826965294
1956-08-01,405,,405.0,413.0,368.3333333333333,368.3333333333333,384.0,384.0,347.7394706157224,347.7394706157224
1956-09-01,355,355.0,,355.0,355.0,355.0,355.0,355.0,349.1915764925779,349.1915764925779
1956-10-01,306,306.0,,306.0,306.0,306.0,306.0,306.0,340.5532611940623,340.5532611940623
1956-11-01,271,271.0,,271.0,271.0,271.0,271.0,271.0,326.64260895524984,326.64260895524984
1956-12-01,306,,306.0,271.0,310.6666666666667,310.6666666666667,293.0,293.0,322.51408716419985,322.51408716419985
1957-01-01,315,315.0,,315.0,315.0,315.0,315.0,315.0,321.0112697313599,321.0112697313599
1957-02-01,301,,301.0,315.0,298.8888888888889,293.0,326.0,326.0,317.0090157850879,317.0090157850879
1957-03-01,356,,356.0,,308.1851851851852,315.0,337.0,337.0,324.8072126280703,324.8072126280703
1957-04-01,348,348.0,,348.0,348.0,348.0,348.0,348.0,329.4457701024562,329.4457701024562
1957-05-01,355,355.0,,355.0,355.0,355.0,355.0,355.0,334.556616081965,334.556616081965
1957-06-01,422,422.0,,422.0,422.0,422.0,422.0,422.0,352.045292865572,352.045292865572
1957-07-01,465,,465.0,422.0,375.0,375.0,444.5,444.5,374.6362342924576,374.6362342924576
1957-08-01,467,467.0,,467.0,467.0,467.0,467.0,467.0,393.10898743396604,393.10898743396604
1957-09-01,404,404.0,,404.0,404.0,404.0,404.0,404.0,395.2871899471728,395.2871899471728
1957-10-01,347,347.0,,347.0,347.0,347.0,347.0,347.0,385.6297519577382,385.6297519577382
1957-11-01,305,305.0,,305.0,305.0,305.0,305.0,305.0,369.5038015661906,369.5038015661906
1957-12-01,336,336.0,,336.0,336.0,336.0,336.0,336.0,362.8030412529525,362.8030412529525
1958-01-01,340,340.0,,340.0,340.0,340.0,340.0,340.0,358.242433002362,358.242433002362
1958-02-01,318,318.0,,318.0,318.0,318.0,318.0,318.0,350.1939464018896,350.1939464018896
1958-03-01,362,362.0,,362.0,362.0,362.0,362.0,362.0,352.5551571215117,352.5551571215117
1958-04-01,348,,348.0,362.0,340.0,340.0,362.5,362.5,351.64412569720935,351.64412569720935
1958-05-01,363,363.0,,363.0,363.0,363.0,363.0,363.0,353.91530055776747,353.91530055776747
1958-06-01,435,435.0,,435.0,435.0,435.0,435.0,435.0,370.132240446214,370.132240446214
1958-07-01,491,491.0,,491.0,491.0,491.0,491.0,491.0,394.3057923569712,394.3057923569712
1958-08-01,505,505.0,,505.0,505.0,505.0,505.0,505.0,416.444633885577,416.444633885577
1958-09-01,404,404.0,,404.0,404.0,404.0,404.0,404.0,413.95570710846164,413.95570710846164
1958-10-01,359,,359.0,404.0,466.6666666666667,466.6666666666667,357.0,357.0,402.96456568676933,402.96456568676933
1958-11-01,310,310.0,,310.0,310.0,310.0,310.0,310.0,384.3716525494155,384.3716525494155
1958-12-01,337,,337.0,310.0,393.5555555555556,357.0,320.6666666666667,320.6666666666667,374.8973220395324,374.8973220395324
1959-01-01,360,,360.0,,390.07407407407413,310.0,331.3333333333333,331.3333333333333,371.91785763162596,371.91785763162596
1959-02-01,342,342.0,,342.0,342.0,342.0,342.0,342.0,365.93428610530077,365.93428610530077
1959-03-01,406,406.0,,406.0,406.0,406.0,406.0,406.0,373.9474288842406,373.9474288842406
1959-04-01,396,396.0,,396.0,396.0,396.0,396.0,396.0,378.3579431073925,378.3579431073925
1959-05-01,420,420.0,,420.0,420.0,420.0,420.0,420.0,386.686354485914,386.686354485914
1959-06-01,472,472.0,,472.0,472.0,472.0,472.0,472.0,403.7490835887312,403.7490835887312
1959-07-01,548,548.0,,548.0,548.0,548.0,548.0,548.0,432.59926687098493,432.59926687098493
1959-08-01,559,559.0,,559.0,559.0,559.0,559.0,559.0,457.87941349678795,457.87941349678795
1959-09-01,463,463.0,,463.0,463.0,463.0,463.0,463.0,458.90353079743034,458.90353079743034
1959-10-01,407,407.0,,407.0,407.0,407.0,407.0,407.0,448.52282463794427,448.52282463794427
1959-11-01,362,362.0,,362.0,362.0,362.0,362.0,362.0,431.2182597103554,431.2182597103554
1959-12-01,405,,405.0,362.0,410.6666666666667,410.6666666666667,371.6666666666667,371.6666666666667,425.9746077682844,425.9746077682844
1960-01-01,417,,417.0,,393.22222222222223,384.5,381.3333333333333,381.3333333333333,424.1796862146275,424.1796862146275
1960-02-01,391,391.0,,391.0,391.0,391.0,391.0,391.0,417.54374897170203,417.54374897170203
1960-03-01,419,419.0,,419.0,419.0,419.0,419.0,419.0,417.8349991773616,417.8349991773616
1960-04-01,461,,461.0,419.0,401.0740740740741,405.0,445.5,445.5,426.4679993418893,426.4679993418893
1960-05-01,472,472.0,,472.0,472.0,472.0,472.0,472.0,435.57439947351145,435.57439947351145
1960-06-01,535,535.0,,535.0,535.0,535.0,535.0,535.0,455.45951957880914,455.45951957880914
1960-07-01,622,,622.0,535.0,469.358024691358,503.5,570.5,570.5,488.7676156630473,488.7676156630473
1960-08-01,606,606.0,,606.0,606.0,606.0,606.0,606.0,512.2140925304378,512.2140925304378
1960-09-01,508,508.0,,508.0,508.0,508.0,508.0,508.0,511.37127402435027,511.37127402435027
1960-10-01,461,461.0,,461.0,461.0,461.0,461.0,461.0,501.2970192194802,501.2970192194802
1960-11-01,390,390.0,,390.0,390.0,390.0,390.0,390.0,479.0376153755842,479.0376153755842
1960-12-01,432,432.0,,432.0,432.0,432.0,432.0,432.0,469.63009230046737,469.63009230046737
